job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
RC Data Analyst Trainee|PT. SASANA CIPTA MULIA|West Kalimantan|west kalimantan|2026-03-07 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Finance Data Analyst|Private Advertiser|Balikpapan, East Kalimantan|bali|2026-02-25 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Performance Marketing Analyst|OLX Indonesia|South Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|1|0|||
DATA ANALYST|A&W Restaurants Indonesia|North Jakarta, Jakarta|jakarta|2026-03-05 01:00:00|1|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst Staff|PT Mazuta Bima Tek|Surabaya, East Java|east java|2026-03-06 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Finance Analyst|PT Santosa Utama Lestari|South Jakarta, Jakarta|jakarta|2026-03-17 10:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Food Safety Data Analyst (Group of Propan)|PT Propan Raya Industrial Coating Chemicals|Tangerang Regency, Banten|banten|2026-03-10 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Key Account Analyst|PT SMART,Tbk|Jakarta|jakarta|2026-03-04 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT System Analyst|PT GLOBAL LOYALTY INDONESIA|Tangerang, Banten|banten|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT Business Analyst/ System Analyst Project Based|Private Advertiser|Tangerang, Banten|banten|2026-03-10 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|7500000.0|11000000.0|9250000.0
PRODUCT DATA SPECIALIST|CV.KARYA PRATAMA PERKASA|North Denpasar, Bali|bali|2026-03-01 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|3500000.0|5000000.0|4250000.0
Business Analyst Manager (Core Banking)|SUNLINE TECHNOLOGY INDONESIA|South Jakarta, Jakarta|jakarta|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Coal Market Analyst Lead|AME Mineral Economics Pty Ltd|Jakarta|jakarta|2026-03-13 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
QC Analyst|PT Titian Servis Indonesia|South Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Commercial Analyst (Mandarin Speaker)|PT Daaz Bara Lestari|South Jakarta, Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
MT Corporate Credit Analyst - Tangerang|PT. BFI FINANCE INDONESIA, Tbk|Tangerang District, Banten|banten|2026-03-17 14:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Sr. Reporting Financial Analyst|BaliSuperHost|Ubud, Bali|bali|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|0|||
Sales Intern – Data Mining & Support|PT. KRELOSES TEKNOLOGI INDONESIA|Yogyakarta, Yogyakarta Special Region|yogyakarta|2026-03-06 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2500000.0|3000000.0|2750000.0
Analisis Data Spesialist platform Mandarin Speaker|PT. Zhisheng Pacific Trading (Mixue)|Jakarta|jakarta|2026-03-01 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|10000000.0|15000000.0|12500000.0
Finance Reporting Analyst|PT Amman Mineral Nusa Tenggara|West Sumbawa, West Nusa Tenggara|west nusa tenggara|2026-03-07 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Financial Planning Analyst|Kawan Lama Group|Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|||
Technical Analyst|PT Mindo Small Business Solutions|Yogyakarta Special Region|yogyakarta|2026-02-26 01:00:00|1|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|3500000.0|5000000.0|4250000.0
Technical Consultant Analyst|PT. Metrodata Electronics, Tbk|Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT Database Administration|PT SICEPAT EKSPRES INDONESIA|South Jakarta, Jakarta|jakarta|2026-03-17 11:00:00|0|1|0|1|1|1|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Cabling Data Specialist - Networking Products and Solutions|Inqui Solutions Pte. Ltd.|Batam, Riau Islands|riau|2026-02-28 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Business System Analyst Coordinator|PT Mahadana Dasha Utama|Cilandak, Jakarta|jakarta|2026-02-25 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
